date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:10:58	296/296	---MCZ	200	added ('OK')	text/plain	etag:W/%221ea-NGzG3vPLXVawpO7pWsri8cI9Iu0%22	https://www.eezysong.com/robots.txt		(from )
11:10:58	554479/554479	---MCZ	200	added ('OK')	text/html	etag:W/%2224ff7888d4aa638640fcbc8a8de4a06d%22	https://www.eezysong.com/	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/www.eezysong.com/index.html	(from )
11:10:59	621/621	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ca9034ad8c7b86021a6f8b3ba916aed5%22	https://static.parastorage.com/services/wix-thunderbolt/dist/originTrials.3c681624.bundle.min.js	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.parastorage.com/services/wix-thunderbolt/dist/originTrials.3c681624.bundle.min.js	(from https://www.eezysong.com/)
11:10:59	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.eezysong.com/)
11:10:59	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.eezysong.com/)
11:10:59	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.eezysong.com/)
11:11:00	2212/2212	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Feb%202026%2019:11:00%20GMT	https://www.eezysong.com/t	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/www.eezysong.com/t.4.delayed	(from https://www.eezysong.com/)
11:11:00	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Feb%202026%2019:11:00%20GMT	https://www.eezysong.com/e	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/www.eezysong.com/e.5.delayed	(from https://www.eezysong.com/)
11:11:00	959/959	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Feb%202026%2019:11:00%20GMT	https://static.wixstatic.com/media/01c3aff52f2a4dffa526d7a9843d46ea.png/v1/fill/w_27,h_27,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/01c3aff52f2a4dffa526d7a9843d46ea.png	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.wixstatic.com/media/01c3aff52f2a4dffa526d7a9843d46ea.png/v1/fill/w_27,h_27,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/01c3aff52f2a4dffa526d7a9843d46ea.png	(from https://www.eezysong.com/)
11:11:01	773/773	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Feb%202026%2019:11:01%20GMT	https://static.wixstatic.com/media/0fdef751204647a3bbd7eaa2827ed4f9.png/v1/fill/w_27,h_27,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/0fdef751204647a3bbd7eaa2827ed4f9.png	C:/Users/kelly/Documents/Projects/eezysong-www/EezySong/static.wixstatic.com/media/0fdef751204647a3bbd7eaa2827ed4f9.png/v1/fill/w_27,h_27,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/0fdef751204647a3bbd7eaa2827ed4f9.png	(from https://www.eezysong.com/)
